# AI Accelerator Scaling Frontier Dataset (2012-2026)
# Compiled from primary sources: Hot Chips, ISSCC, ISCA, IEEE Micro, and vendor architecture whitepapers.
# Operational Intensity = Peak Compute / Memory Bandwidth (FLOP/Byte)
# Bytes per FLOP = Memory Bandwidth / Peak Compute (Bytes/FLOP)
Chip_Name,Vendor,Release_Year,Process_Node,Transistors_Billion,Die_Area_mm2,Packaging_Type,TDP_Watts,Peak_FP32_TFLOPS,Peak_FP16_BF16_TFLOPS,Peak_FP8_TFLOPS,Peak_FP4_TFLOPS,Memory_Technology,Memory_Capacity_GB,Memory_Bandwidth_GBs,Bytes_Per_FLOP_Primary,Operational_Intensity_FLOP_Per_Byte,Primary_Source_Citation
NVIDIA Kepler K20X,NVIDIA,2012,TSMC 28nm,7.1,551,Monolithic (PCIe),235,3.94,3.94,0.0,0.0,GDDR5,6.0,250.0,0.06353,15.74,"NVIDIA Kepler GK110 Whitepaper (2012); Hot Chips 24"
NVIDIA Tesla P100 SXM2,NVIDIA,2016,TSMC 16nm,15.3,610,Monolithic (2.5D CoWoS-S),300,10.6,21.2,0.0,0.0,HBM2,16.0,732.0,0.03453,28.96,"Foley & Danskin, IEEE Micro 2017 / Hot Chips 28"
NVIDIA Tesla V100 SXM2,NVIDIA,2017,TSMC 12nm,21.1,815,Monolithic (2.5D CoWoS-S),300,15.7,125.0,0.0,0.0,HBM2,16.0,900.0,0.00720,138.89,"Choquette et al., IEEE Micro 2018 / Hot Chips 29"
NVIDIA A100 SXM4 (40GB),NVIDIA,2020,TSMC 7nm,54.2,826,Monolithic (2.5D CoWoS-S),400,19.5,312.0,0.0,0.0,HBM2,40.0,1555.0,0.00498,200.64,"Choquette et al., IEEE Micro 2021 / Hot Chips 32"
NVIDIA H100 SXM5 (80GB),NVIDIA,2022,TSMC 4N,80.0,814,Monolithic (2.5D CoWoS-S),700,67.0,989.5,1979.0,0.0,HBM3,80.0,3350.0,0.00339,295.37,"Choquette, IEEE Micro 2023 / Hot Chips 34"
NVIDIA Blackwell B200 SXM,NVIDIA,2024,TSMC 4NP,208.0,1628,Dual-die Chiplet (2.5D CoWoS-L),1000,80.0,2250.0,4500.0,9000.0,HBM3e,192.0,8000.0,0.00356,281.25,"NVIDIA Blackwell Architecture Whitepaper (2024); Hot Chips 36"
Google TPU v1,Google,2015,TSMC 28nm,3.0,331,Monolithic (PCIe),75,0.0,0.0,0.0,0.0,DDR3 + SRAM,8.0,34.0,0.00037,2710.59,"Jouppi et al., ISCA 2017 (DOI: 10.1145/3079856.3080246)"
Google TPU v2,Google,2017,TSMC 16nm,9.0,625,Monolithic (2.5D CoWoS),200,0.0,45.0,0.0,0.0,HBM,16.0,600.0,0.01333,75.00,"Jouppi et al., CACM 2020 / Hot Chips 29"
Google TPU v3,Google,2018,TSMC 16nm,10.0,700,Monolithic (2.5D CoWoS),450,0.0,123.0,0.0,0.0,HBM2,32.0,900.0,0.00732,136.67,"Jouppi et al., CACM 2020 / Hot Chips 30"
Google TPU v4,Google,2021,TSMC 7nm,22.0,600,Monolithic (2.5D CoWoS),400,0.0,275.0,0.0,0.0,HBM2e + SRAM,32.0,1200.0,0.00436,229.17,"Jouppi et al., ISCA 2023 (DOI: 10.1145/3579371.3589350)"
