node_nm,plotted_cost_musd,source_value_musd,evidence_type,source,accounting_boundary
65,30,30,stated-approximation,"Semiconductor Industry Association, Chip Design and R&D [@SemiconductorIndustryAssociation2026ChipDesign]","New chip on latest manufacturing node in 2006; public association summary"
10,175,175,stated-approximation,"McKinsey, Semiconductor Design and Manufacturing (2020) [@BauerEtAl2020SemiconductorDesignManufacturing]","Design cost including validation through IP qualification"
7,300,300,stated-approximation,"McKinsey, Semiconductor Design and Manufacturing (2020) [@BauerEtAl2020SemiconductorDesignManufacturing]","Design cost including validation through IP qualification"
7,249,249,source-transcribed,"Arm Holdings plc, Form 424B4, SEC, September 14, 2023 [@ArmHoldings2023Prospectus]","IBS July 2022 estimate for IC design cost at 7 nm; composition not stated"
5,540,540,stated-approximation,"McKinsey, Semiconductor Design and Manufacturing (2020) [@BauerEtAl2020SemiconductorDesignManufacturing]","Design cost including validation through IP qualification"
5,540,542,rounded-cross-check,"Semiconductor Industry Association, Chip Design and R&D [@SemiconductorIndustryAssociation2026ChipDesign]","SIA page displays $542M and describes the cost as over $540M for a new latest-node chip in 2020"
2,725,725,secondary-reported-estimate,"Shilov, Tom's Hardware report of an IBS slide [@Shilov2023IBSDesignCost]","Fairly large chip developed from scratch by a company without reusable IP; not a universal design price"
2,725,725,source-transcribed,"Arm Holdings plc, Form 424B4, SEC, September 14, 2023 [@ArmHoldings2023Prospectus]","fig-design-cost-composition total; cited to IBS July 2022; primary-source cross-check for the Tom's Hardware anchor"
2,514.75,514.75,derived-from-stated-share,"Arm Holdings plc, Form 424B4, SEC, September 14, 2023 [@ArmHoldings2023Prospectus]","fig-design-cost-composition combined software development, verification, and IP qualification; 71 percent of the stated 725 million dollar total"
2,210.25,210.25,derived-from-stated-share,"Arm Holdings plc, Form 424B4, SEC, September 14, 2023 [@ArmHoldings2023Prospectus]","fig-design-cost-composition other design cost; 29 percent remainder from the stated 725 million dollar total"
