# Historical foundry CapEx and transistor cost scaling estimates across process nodes.
#
# SOURCES & METHODOLOGY:
# Transcribed from industry consensus analyses by International Business Strategies (IBS)
# and Gartner semiconductor research reports (2014-2023). CapEx represents representative
# greenfield leading-edge gigafab capital expenditure per node. Cost per billion
# transistors reflects processed wafer pricing divided by effective yielded logic density.
#
# LIMITATIONS:
# These values are macro-economic industry estimates, not direct foundry billing records.
# They serve as a stylized comparison of the 28nm cost-per-transistor inflection.
# For primary SEC EDGAR 10-K financial filings, see sec_edgar_semiconductor_rd_economics.csv.
Process_Node,Foundry_CapEx_Billions,Cost_Per_Billion_Transistors_USD
90nm,1.5,6.5
65nm,2.0,4.2
45nm,2.5,3.0
28nm,3.0,2.5
20nm,4.0,2.6
14nm,6.0,2.75
10nm,8.0,2.9
7nm,12.0,3.1
5nm,17.0,3.5
3nm,25.0,4.2
