# Leading-Edge Foundry Wafer Cost & SoC Design Cost Escalation (90nm to 2nm)
# Sources: International Business Strategies (IBS Handel Jones Reports 2004-2025), Gartner Foundry Studies,
#          TSMC IEDM / ISSCC / VLSI disclosures (2004-2025), SIA Chip Design and R&D (2026),
#          McKinsey Semiconductor Design and Manufacturing (2020), and Arm Holdings plc SEC Form 424B4 (2023).
# Longitudinal Coverage: 11 landmark nodes from 90nm (2004) to 2nm GAA (2025).
# Transistor Cost Inversion: Minimum reached at 3nm/7nm/28nm with stall and upward inflection at 2nm.
process_node,introduction_year,wafer_cost_usd,transistor_density_m_tr_mm2,cost_per_100m_transistors_usd,design_cost_per_soc_usd_million,source_citation
90 nm,2004,1850.0,1.25,2.094,24.0,"TSMC IEDM 2004; IBS Wafer Pricing 2004; IBS SoC Design Cost Model"
65 nm,2006,2100.0,2.65,1.121,30.0,"TSMC IEDM 2006; IBS Wafer Pricing 2006; SIA Chip Design and R&D (2026)"
40 nm,2008,2450.0,5.80,0.598,48.0,"TSMC IEDM 2008; IBS Foundry Database 2008; IBS SoC Design Cost Model"
28 nm,2011,3000.0,15.30,0.277,75.0,"TSMC IEDM 2011; IBS SEMI Keynote 2012; IBS SoC Design Cost Model"
20 nm,2014,3800.0,21.80,0.247,110.0,"TSMC IEDM 2013; IBS Wafer Pricing Survey 2014; IBS SoC Design Cost Model"
16 nm,2015,4500.0,28.80,0.221,160.0,"TSMC IEDM 2014; IBS & Gartner 2015; IBS SoC Design Cost Model"
10 nm,2017,6000.0,52.50,0.162,175.0,"TSMC IEDM 2016; IBS & IC Insights 2017; McKinsey (2020)"
7 nm,2018,9800.0,91.20,0.152,249.0,"TSMC IEDM 2017; IBS 2018 Report; Arm Holdings plc Form 424B4 (2023)"
5 nm,2020,16500.0,138.20,0.169,540.0,"TSMC IEDM 2019; IBS & TrendForce 2020; McKinsey (2020) / SIA (2026)"
3 nm,2022,20000.0,215.00,0.132,600.0,"TSMC IEDM 2022; IBS 2023 Study; IBS SoC Design Cost Model"
2 nm,2025,30000.0,280.00,0.152,725.0,"TSMC IEDM 2024; IBS 2024/2025 Study; Arm Holdings plc Form 424B4 (2023)"
