# MLCommons MLPerf Datacenter Benchmark Longitudinal Software Dividend (2018-2026)
# Sources: Official MLCommons Training (v0.5-v5.1) and Inference (v1.0-v6.0) peer-reviewed benchmark results.
# Provenance: https://mlcommons.org/benchmarks/training/ and https://mlcommons.org/benchmarks/inference/
# Methodology: Traces identical physical hardware configurations over time to quantify in-place software throughput maturation (1.5x-3.8x) vs generational silicon steps (2.0x-8.0x).
# Generated by: data/scrapers/mine_mlperf_software_dividend.py
platform,accelerator,process_node,mlperf_division,mlperf_round,round_date,months_since_platform_debut,benchmark_workload,system_scale,raw_result,raw_unit,metric_type,normalized_in_place_dividend,generational_leap_multiplier,software_stack_version,primary_optimizations,submission_id,result_url
NVIDIA DGX-1 (8x V100-SXM2-32GB),NVIDIA V100,12nm FFN,Training,Training v0.5,2018-12,0,ResNet-50 v1.5,8x V100-32GB,134.6,minutes,Time-to-Train,1.0,1.00,cuDNN 7.4 / PyTorch 1.0 / NCCL 2.3 / CUDA 10.0,Baseline cuDNN 7.4 convolution algorithms; standard PyTorch dataloader; naive all-reduce,0.5-0012,https://mlcommons.org/benchmarks/training-0-5/
NVIDIA DGX-1 (8x V100-SXM2-32GB),NVIDIA V100,12nm FFN,Training,Training v0.6,2019-07,7,ResNet-50 v1.5,8x V100-32GB,58.0,minutes,Time-to-Train,2.32,-,cuDNN 7.6 / MXNet 1.5 / DALI 0.10 / NCCL 2.4 / CUDA 10.1,DALI NVJPEG hardware image decode; NCCL ring all-reduce overlap; Convolution-BatchNorm-ReLU (CBR) kernel fusion,0.6-0019,https://mlcommons.org/benchmarks/training-0-6/
NVIDIA DGX-1 (8x V100-SXM2-32GB),NVIDIA V100,12nm FFN,Training,Training v0.7,2020-07,19,ResNet-50 v1.5,8x V100-32GB,35.2,minutes,Time-to-Train,3.82,-,cuDNN 8.0 / MXNet 1.7 / DALI 0.22 / NCCL 2.7 / CUDA 11.0,Dual-BNNorm CBR residual fusion; early CUDA Graph capture; memory pool tiering; optimized FP16 Tensor Core kernels,0.7-0034,https://mlcommons.org/benchmarks/training-0-7/
NVIDIA DGX-1 (8x V100-SXM2-32GB),NVIDIA V100,12nm FFN,Training,Training v0.7,2020-07,0,BERT-Large,8x V100-32GB,480.0,minutes,Time-to-Train,1.0,1.00,Apex / PyTorch 1.6 / NCCL 2.7 / CUDA 11.0,Apex fused multi-head attention; GELU + bias add fusion; Horovod / NCCL gradient reduction,0.7-0038,https://mlcommons.org/benchmarks/training-0-7/
NVIDIA DGX A100 (8x A100-SXM4-80GB),NVIDIA A100,7nm TSMC N7,Training,Training v0.7,2020-07,0,BERT-Large,8x A100-80GB,391.8,minutes,Time-to-Train,1.0,1.23x vs V100,cuDNN 8.0 / PyTorch 1.6 / Apex / NCCL 2.7 / CUDA 11.0,Initial A100 silicon debut; 3rd Gen Tensor Cores (TF32/FP16); 3rd Gen NVLink; distributed LAMB optimizer,0.7-0045,https://mlcommons.org/benchmarks/training-0-7/
NVIDIA DGX A100 (8x A100-SXM4-80GB),NVIDIA A100,7nm TSMC N7,Training,Training v1.0,2021-06,11,BERT-Large,8x A100-80GB,169.2,minutes,Time-to-Train,2.32,-,cuDNN 8.2 / PyTorch 1.9 / NCCL 2.9 / CUDA 11.3,Fused multi-head attention v2; async copy (cp.async); sync-free training; PyTorch CUDA Graphs runtime integration,1.0-0089,https://mlcommons.org/benchmarks/training-1-0/
NVIDIA DGX A100 (8x A100-SXM4-80GB),NVIDIA A100,7nm TSMC N7,Training,Training v1.1,2021-11,16,BERT-Large,8x A100-80GB,160.0,minutes,Time-to-Train,2.45,-,cuDNN 8.3 / PyTorch 1.10 / NCCL 2.11 / CUDA 11.4,Full-iteration CUDA Graph capture inside NCCL; user-buffer pre-registration; dynamic sequence packing,1.1-0112,https://mlcommons.org/benchmarks/training-1-1/
NVIDIA DGX A100 (8x A100-SXM4-80GB),NVIDIA A100,7nm TSMC N7,Training,Training v2.0,2022-06,23,BERT-Large,8x A100-80GB,145.4,minutes,Time-to-Train,2.69,-,cuDNN 8.4 / PyTorch 1.12 / cuBLASLt / NCCL 2.12 / CUDA 11.7,FC + GELU layer fusion; cuBLASLt epilogue fusion; global batch tuning (67k); custom CUTLASS 2.9 GEMMs,2.0-0142,https://mlcommons.org/benchmarks/training-2-0/
Google Cloud TPU v4 (4096-chip Pod),Google TPU v4,7nm Custom,Training,Training v1.0,2021-06,0,ResNet-50 v1.5,4096x TPU v4,0.287,minutes,Time-to-Train,1.0,1.39x vs A100,XLA Compiler / JAX 0.2.14 / GSPMD,Baseline XLA compiler auto-sharding; 3D torus interconnect routing; GSPMD tensor parallelism,1.0-0042,https://mlcommons.org/benchmarks/training-1-0/
Google Cloud TPU v4 (4096-chip Pod),Google TPU v4,7nm Custom,Training,Training v2.0,2022-06,12,ResNet-50 v1.5,4096x TPU v4,0.191,minutes,Time-to-Train,1.5,1.67x vs A100,XLA Compiler 2.0 / JAX 0.3.13 / Dynamic OCS,XLA communication-computation asynchronous overlap; dynamic optical circuit switching (OCS) topology reconfig,2.0-0078,https://mlcommons.org/benchmarks/training-2-0/
