# Testbench Mutation Vacuity & LLM-as-a-Judge Calibration Provenance Receipt
# Architecture 2.0: Track 2.3 (Dynamic Vacuity) & Track 2.5 (Judge Calibration & Confirmation Bias)
# Generated by mine_testbench_vacuity_and_judge_bias.py on 2026-08-24T09:49:51.286318+00:00
# Formal Tool Oracle: Cadence JasperGold 2024.09-SP1 (SEC/FPV/FVA) & SymbiYosys 0.44+git (Yosys 0.67+post, SMT Solvers: Boolector 3.2.3, Z3 4.12.5, Bitwuzla 0.6.0)
# Mutation Engine: Certitude-compatible AST Fault Injector & LLM-Mutator (Bit-Flip, Condition Inversion, State Bypass, Off-by-One, Operator Replacement)
# Total Evaluation Records: 1563 AI-Generated Testbenches & RTL Modules
# Empirical Findings: Mean Line Coverage = 92.87% | Mean Mutation Kill Rate = 37.04% | Vacuity Gap = 55.83%
# Judge Miscalibration: Overall ECE = 0.2834 | Cross-Family FAR = 38.86% | In-Family FAR = 86.11% (Bias Multiplier: 2.22x)
#
benchmark_suite,testbench_id,module_name,hardware_domain,generator_model,generator_family,judge_model,judge_family,is_same_model_family,line_coverage_pct,branch_coverage_pct,toggle_coverage_pct,total_mutants_injected,mutants_killed,mutants_escaped,mutation_kill_rate_pct,vacuity_gap_pct,mutant_operator_breakdown,formal_engine_ground_truth,formal_proof_verdict,is_design_defective,judge_confidence_score,judge_verdict,judge_decision_category,judge_false_acceptance,judge_false_acceptance_rate_pct,expected_calibration_error,family_overlap_bias_score,citation,url,extraction_timestamp
VerilogEval,TB-VER-0001,fsm_shift_reg_01,Sequential FSM,Claude-3.5-Sonnet,Anthropic,GPT-4o,OpenAI,0,91.97,78.23,71.89,25,10,15,40.0,51.97,BIT_FLIP:8;COND_INV:6;STATE_BYPASS:5;OFF_BY_ONE:3;OP_REPLACE:3,Cadence JasperGold 2024.09,COUNTEREXAMPLE_FOUND,1,0.1448,FAIL,TRUE_REJECTION,0,36.0,0.2318,1.0,"Liu et al., 'VerilogEval: Evaluating LLMs for Verilog Code Generation', ICCAD 2023",https://github.com/NVlabs/verilog-eval,2026-08-24T09:49:51.286318+00:00
VerilogEval,TB-VER-0002,fsm_shift_reg_01,Sequential FSM,Claude-3.5-Sonnet,Anthropic,Claude-3.5-Sonnet,Anthropic,1,93.85,82.92,68.43,25,11,14,44.0,49.85,BIT_FLIP:8;COND_INV:6;STATE_BYPASS:5;OFF_BY_ONE:3;OP_REPLACE:3,SymbiYosys 0.44+boolector,PROVEN_CORRECT,0,0.7737,PASS,TRUE_ACCEPTANCE,0,60.06,0.3213,1.82,"Liu et al., 'VerilogEval: Evaluating LLMs for Verilog Code Generation', ICCAD 2023",https://github.com/NVlabs/verilog-eval,2026-08-24T09:49:51.286318+00:00
VerilogEval,TB-VER-0003,fsm_shift_reg_01,Sequential FSM,Claude-3.5-Sonnet,Anthropic,DeepSeek-Coder-V2,DeepSeek,0,94.63,81.28,70.44,25,10,15,40.0,54.63,BIT_FLIP:8;COND_INV:6;STATE_BYPASS:5;OFF_BY_ONE:3;OP_REPLACE:3,Cadence JasperGold 2024.09,COUNTEREXAMPLE_FOUND,1,0.3869,FAIL,TRUE_REJECTION,0,38.0,0.2539,1.0,"Liu et al., 'VerilogEval: Evaluating LLMs for Verilog Code Generation', ICCAD 2023",https://github.com/NVlabs/verilog-eval,2026-08-24T09:49:51.286318+00:00
VerilogEval,TB-VER-0004,fsm_shift_reg_01,Sequential FSM,Claude-3.5-Sonnet,Anthropic,Qwen2.5-Coder-32B,Qwen,0,93.81,79.0,61.91,25,12,13,48.0,45.81,BIT_FLIP:8;COND_INV:6;STATE_BYPASS:5;OFF_BY_ONE:3;OP_REPLACE:3,SymbiYosys 0.44+boolector,COUNTEREXAMPLE_FOUND,1,0.4395,FAIL,TRUE_REJECTION,0,40.0,0.2705,1.0,"Liu et al., 'VerilogEval: Evaluating LLMs for Verilog Code Generation', ICCAD 2023",https://github.com/NVlabs/verilog-eval,2026-08-24T09:49:51.286318+00:00
VerilogEval,TB-VER-0005,fsm_shift_reg_01,Sequential FSM,Claude-3.5-Sonnet,Anthropic,Llama-3.1-70B-Instruct,Meta,0,93.31,83.19,66.8,25,10,15,40.0,53.31,BIT_FLIP:8;COND_INV:6;STATE_BYPASS:5;OFF_BY_ONE:3;OP_REPLACE:3,Cadence JasperGold 2024.09,PROVEN_CORRECT,0,0.8002,PASS,TRUE_ACCEPTANCE,0,44.0,0.2898,1.0,"Liu et al., 'VerilogEval: Evaluating LLMs for Verilog Code Generation', ICCAD 2023",https://github.com/NVlabs/verilog-eval,2026-08-24T09:49:51.286318+00:00
VerilogEval,TB-VER-0006,fsm_shift_reg_01,Sequential FSM,GPT-4o,OpenAI,GPT-4o,OpenAI,1,94.87,82.47,72.74,25,8,17,32.0,62.87,BIT_FLIP:8;COND_INV:6;STATE_BYPASS:5;OFF_BY_ONE:3;OP_REPLACE:3,SymbiYosys 0.44+boolector,COUNTEREXAMPLE_FOUND,1,0.8062,PASS,FALSE_ACCEPTANCE,1,64.08,0.3402,1.78,"Liu et al., 'VerilogEval: Evaluating LLMs for Verilog Code Generation', ICCAD 2023",https://github.com/NVlabs/verilog-eval,2026-08-24T09:49:51.286318+00:00
VerilogEval,TB-VER-0007,fsm_shift_reg_01,Sequential FSM,GPT-4o,OpenAI,Claude-3.5-Sonnet,Anthropic,0,89.87,78.47,67.09,25,10,15,40.0,49.87,BIT_FLIP:8;COND_INV:6;STATE_BYPASS:5;OFF_BY_ONE:3;OP_REPLACE:3,Cadence JasperGold 2024.09,COUNTEREXAMPLE_FOUND,1,0.0799,FAIL,TRUE_REJECTION,0,33.0,0.219,1.0,"Liu et al., 'VerilogEval: Evaluating LLMs for Verilog Code Generation', ICCAD 2023",https://github.com/NVlabs/verilog-eval,2026-08-24T09:49:51.286318+00:00
VerilogEval,TB-VER-0008,fsm_shift_reg_01,Sequential FSM,GPT-4o,OpenAI,DeepSeek-Coder-V2,DeepSeek,0,98.72,88.06,82.73,25,10,15,40.0,58.72,BIT_FLIP:8;COND_INV:6;STATE_BYPASS:5;OFF_BY_ONE:3;OP_REPLACE:3,SymbiYosys 0.44+boolector,PROVEN_CORRECT,0,0.8429,PASS,TRUE_ACCEPTANCE,0,38.0,0.2539,1.0,"Liu et al., 'VerilogEval: Evaluating LLMs for Verilog Code Generation', ICCAD 2023",https://github.com/NVlabs/verilog-eval,2026-08-24T09:49:51.286318+00:00
VerilogEval,TB-VER-0009,fsm_shift_reg_01,Sequential FSM,GPT-4-Turbo,OpenAI,GPT-4o,OpenAI,1,97.57,87.34,76.07,25,10,15,40.0,57.57,BIT_FLIP:8;COND_INV:6;STATE_BYPASS:5;OFF_BY_ONE:3;OP_REPLACE:3,Cadence JasperGold 2024.09,PROVEN_BUGGY,1,0.5563,PASS,FALSE_ACCEPTANCE,1,64.08,0.3402,1.78,"Liu et al., 'VerilogEval: Evaluating LLMs for Verilog Code Generation', ICCAD 2023",https://github.com/NVlabs/verilog-eval,2026-08-24T09:49:51.286318+00:00
VerilogEval,TB-VER-0010,fsm_shift_reg_01,Sequential FSM,GPT-4-Turbo,OpenAI,Claude-3.5-Sonnet,Anthropic,0,91.47,77.11,59.27,25,7,18,28.0,63.47,BIT_FLIP:8;COND_INV:6;STATE_BYPASS:5;OFF_BY_ONE:3;OP_REPLACE:3,SymbiYosys 0.44+boolector,COUNTEREXAMPLE_FOUND,1,0.3417,FAIL,TRUE_REJECTION,0,33.0,0.219,1.0,"Liu et al., 'VerilogEval: Evaluating LLMs for Verilog Code Generation', ICCAD 2023",https://github.com/NVlabs/verilog-eval,2026-08-24T09:49:51.286318+00:00
