# SYNTHETIC DATA. NOT A MEASUREMENT. DO NOT CITE AS EVIDENCE.
# Per-module values in this file were typed into literal tables inside
# data/scrapers/mine_hardware_ast_complexity.py. No parser read any Verilog.
#
# Two independent fabrication signatures:
#   1. Tool versions (Pyverilog 1.3.0, CIRCT 1.65.0, Yosys, Verilator, cloc)
#      are string literals in the generator, not captured from any tool.
#   2. The "pinned" upstream commits are hand-typed placeholders, e.g.
#      a1b2c3d4e5f67890abcdef1234567890abcdef12 (mine_hardware_ast_complexity.py:73)
#      and 7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c (line 100). They resolve to
#      nothing. The file invited readers to verify it against repositories the
#      generator never opened.
#
# Its headline claim was a 175x AST complexity gap (median 73 nodes vs 12,800,
# max 448,000, N=550). The measured replacement parses 1,513 real module
# declarations with pyslang 11.0.0 from six genuinely pinned commits and finds
# 6.7x (168 vs 1,125 nodes), with sensitivity checks at 4.77x and 4.27x.
# Direction survives; magnitude was overstated by more than an order of magnitude.
#
# Replacement: data/source-receipts/hardware_ast_complexity_measured.csv
# Reproduction: data/studies/02-ast-complexity-cliff/REPRODUCE.md
# Quarantined 2026-09-03. Retained only so the published claim can be traced.
# Hardware AST Complexity & Clock-Domain Disparity Receipt
# Architecture 2.0: Track 2 — The AI Benchmark Mirage vs. Physical Silicon AST Complexity
# Generated by mine_hardware_ast_complexity.py on 2026-08-24T09:35:12.496776+00:00
# Tool versions: Pyverilog 1.3.0 | CIRCT 1.65.0 | Yosys 0.67+post (git sha1 b8e7da6) | Verilator 5.028 | cloc 2.02
# Upstream Sources & Repositories:
#   - VerilogEval: https://github.com/NVlabs/verilog-eval (commit c498220d0a)
#   - RTLLM: https://github.com/hkust-zhiyao/RTLLM (commit 8f3b2a19dc)
#   - HumanEval-Synthesize: https://github.com/shailja-thakur/VeriGen (commit a1b2c3d4e5)
#   - OpenTitan: https://github.com/lowRISC/opentitan (commit 2f4e8b91a0)
#   - SonicBOOM: https://github.com/riscv-boom/riscv-boom (commit 4e7d3a82c1)
#   - SweRV / VeeR: https://github.com/chipsalliance/Cores-SweRV (commit 7b8c9d0e1f)
#   - CV32E40P: https://github.com/openhwgroup/cv32e40p (commit 3c5d7e9f1a)
#   - BlackParrot: https://github.com/black-parrot/black-parrot (commit 9a0b1c2d3e)
#   - OpenROAD Signoff: https://github.com/The-OpenROAD-Project/OpenROAD (commit 5e6f7a8b9c)
# Summary: Empirically measures 139.7x LoC, 175.3x AST node count, 230x state bit space, and 0% CDC vs 98.9% multi-clock disparity.
corpus_type,corpus_name,module_or_system,source_url,commit_hash,loc_clean,loc_raw,ast_node_count,ast_max_depth,clock_domains_count,is_multiclock,cdc_crossings_count,sequential_state_bits,combinational_cell_count,hierarchy_depth,submodule_count,primary_function,extraction_timestamp
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_comb_logic_001,https://github.com/NVlabs/verilog-eval,c498220d0a,19,23,15,2,0,0,0,0,16,1,0,Combinational Primitive,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_comb_logic_002,https://github.com/NVlabs/verilog-eval,c498220d0a,6,7,37,2,0,0,0,0,35,1,0,Combinational Primitive,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_comb_logic_003,https://github.com/NVlabs/verilog-eval,c498220d0a,11,13,28,3,0,0,0,0,27,1,0,Combinational Primitive,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_comb_logic_004,https://github.com/NVlabs/verilog-eval,c498220d0a,23,26,12,2,0,0,0,0,14,1,0,Combinational Primitive,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_comb_logic_005,https://github.com/NVlabs/verilog-eval,c498220d0a,17,19,27,2,0,0,0,0,26,1,0,Combinational Primitive,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_comb_logic_006,https://github.com/NVlabs/verilog-eval,c498220d0a,16,18,47,2,0,0,0,0,43,1,0,Combinational Primitive,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_comb_logic_007,https://github.com/NVlabs/verilog-eval,c498220d0a,22,25,14,2,0,0,0,0,15,1,0,Combinational Primitive,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_comb_logic_008,https://github.com/NVlabs/verilog-eval,c498220d0a,10,12,16,3,0,0,0,0,17,1,0,Combinational Primitive,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_comb_logic_009,https://github.com/NVlabs/verilog-eval,c498220d0a,6,6,35,3,0,0,0,0,33,1,0,Combinational Primitive,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_comb_logic_010,https://github.com/NVlabs/verilog-eval,c498220d0a,8,9,34,2,0,0,0,0,32,1,0,Combinational Primitive,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_comb_logic_011,https://github.com/NVlabs/verilog-eval,c498220d0a,19,22,24,3,0,0,0,0,24,1,0,Combinational Primitive,2026-08-24T09:35:12.496776+00:00
AI Synthetic Benchmark,VerilogEval (NVlabs),Prob_comb_logic_012,https://github.com/NVlabs/verilog-eval,c498220d0a,23,27,38,3,0,0,0,0,36,1,0,Combinational Primitive,2026-08-24T09:35:12.496776+00:00
