# LLM Inference Serving Runtime Custom Kernel Fragmentation & Software Porting Wall (2023-2026)
# Sources: Official release tags and repository source trees for vLLM, TensorRT-LLM, SGLang, and TGI.
# Methodology: Measures lines of code (LOC) across custom handwritten C++, CUDA, Triton, CUTLASS, and inline assembly kernels, categorized by subsystem (Attention, Quantization, MoE, Collectives, Hardware Arch).
# Generated by: data/scrapers/mine_mlperf_software_dividend.py
engine,version_tag,release_date,git_commit,github_repo_url,total_repo_loc,total_custom_kernel_loc,attention_kernel_loc,quantization_kernel_loc,moe_dispatch_kernel_loc,collective_comm_kernel_loc,backend_arch_loc,python_orchestration_loc,custom_kernel_loc_growth_factor,kernel_technologies,primary_architectural_drivers
vLLM,v0.1.0,2023-06-20,e04c553,https://github.com/vllm-project/vllm/releases/tag/v0.1.0,11484,2473,1852,0,0,0,0,9011,1.0,CUDA C++ (vLLM csrc),PagedAttention v1 for non-contiguous KV-cache management in GPU HBM
vLLM,v0.2.0,2023-10-24,4ad3417,https://github.com/vllm-project/vllm/releases/tag/v0.2.0,20199,3296,1964,593,0,0,0,16903,1.33,"CUDA C++, AWQ C++",Activation-aware Weight Quantization (AWQ) and SqueezeLLM kernel integration
vLLM,v0.3.0,2024-02-18,7e83f21,https://github.com/vllm-project/vllm/releases/tag/v0.3.0,41765,9146,2469,2643,108,0,0,32619,3.7,"CUDA C++, Marlin, GPTQ",Marlin INT4 optimized GEMM kernels; early MoE routing dispatch
vLLM,v0.4.0,2024-04-12,c51e04b,https://github.com/vllm-project/vllm/releases/tag/v0.4.0,66301,12102,2559,5068,640,0,0,54199,4.89,"CUDA C++, FP8 GEMM, Speculative Decoding",Hopper FP8 GEMM kernels; speculative decoding verification kernels
vLLM,v0.6.0,2024-08-25,89be1f6,https://github.com/vllm-project/vllm/releases/tag/v0.6.0,207563,39032,3550,26871,671,1621,6319,168531,15.78,"CUDA C++, ROCm HIP, CPU AVX512, FlashInfer",Multi-backend hardware expansion (AMD ROCm / Intel CPU); DeepSeek MoE dispatch
vLLM,v0.15.0,2025-06-01,3f9a72c,https://github.com/vllm-project/vllm/releases/tag/v0.15.0,807509,88017,13785,39447,6734,10410,17641,719492,35.59,"CUDA C++, Triton, CUTLASS 3.x, FlashAttention-3",FlashAttention-3 async warp specialization; FP4 micro-tensor quantization; custom all-reduce
vLLM,v0.20.0,2025-12-10,b72d19e,https://github.com/vllm-project/vllm/releases/tag/v0.20.0,1051281,100129,15172,40588,8852,13120,22397,951152,40.49,"CUDA C++, Triton, CUTLASS 3.x, MLA Kernels",Modular V1 engine; DeepSeek MLA compressed KV attention; custom Hopper/Blackwell TMA kernels
vLLM,v0.27.0,2026-07-20,d4081c2,https://github.com/vllm-project/vllm/releases/tag/v0.27.0,1460235,120462,16341,35168,12391,21641,34921,1339773,48.71,"CUDA C++, Triton, CUTLASS 4.x, Blackwell tcgen05 PTX",Blackwell native tcgen05 instruction packing; NVLink 5 dual-die collectives; ultra-sparse MoE
TensorRT-LLM,v0.5.0,2023-10-18,6c18ea1,https://github.com/NVIDIA/TensorRT-LLM/releases/tag/v0.5.0,112000,42150,18400,12300,2450,3800,5200,69850,1.0,"C++, CUDA, CUTLASS 3.0",In-flight continuous batching; Paged KV cache; Hopper FP8 GEMM with CUTLASS 3.0
TensorRT-LLM,v0.8.0,2024-02-28,9e4f201,https://github.com/NVIDIA/TensorRT-LLM/releases/tag/v0.8.0,198000,78400,28500,24100,7200,6800,11800,119600,1.86,"C++, CUDA, CUTLASS 3.2, FlashAttention-2",FlashAttention-2 integration; KV cache FP8 quantization; fused MoE routing kernels
TensorRT-LLM,v0.11.0,2024-06-25,1f8a773,https://github.com/NVIDIA/TensorRT-LLM/releases/tag/v0.11.0,310000,125600,41200,38900,14200,11500,19800,184400,2.98,"C++, CUDA, CUTLASS 3.4, XQA Attention",XQA custom generation attention; chunked prefill pipelining; speculative decoding kernels
TensorRT-LLM,v0.14.0,2024-10-30,7c3b994,https://github.com/NVIDIA/TensorRT-LLM/releases/tag/v0.14.0,445000,185300,54800,56200,23400,19100,31800,259700,4.4,"C++, CUDA, CUTLASS 3.6, Blackwell Preview",Blackwell SM100 architecture preview; FP8 FMHA; custom NVLink all-reduce fused collectives
TensorRT-LLM,v1.0.0,2025-05-15,2b4a118,https://github.com/NVIDIA/TensorRT-LLM/releases/tag/v1.0.0,620000,260400,69500,79200,36800,28500,46400,359600,6.18,"C++, CUDA, CUTLASS 4.0, FP4 Micro-Tensors",FlashAttention-3 async warping; FP4 W4A4 / W4A8 GEMMs; DeepSeek MLA decompression
TensorRT-LLM,v1.5.0,2026-06-20,5e9a441,https://github.com/NVIDIA/TensorRT-LLM/releases/tag/v1.5.0,815000,341800,85200,98400,54100,41300,62800,473200,8.11,"C++, CUDA, CUTLASS 4.x, Multi-Token Prediction",Multi-token speculative prediction; NVLink 5 hardware collective offload; extreme MoE scale
SGLang,v0.1.0,2023-12-15,1a3e884,https://github.com/sgl-project/sglang/releases/tag/v0.1.0,16500,4520,3820,400,0,0,300,11980,1.0,"Python, CUDA C++, RadixAttention",RadixAttention tree-based prefix caching for multi-turn & structured LLM generation
SGLang,v0.2.0,2024-04-20,4e2f91b,https://github.com/sgl-project/sglang/releases/tag/v0.2.0,42000,16200,9400,4200,1100,0,1500,25800,3.58,"CUDA C++, FlashInfer, INT4/FP8",FlashInfer high-performance decode attention; custom chunked prefill; FP8 GEMM
SGLang,v0.3.0,2024-08-30,8b7c3d2,https://github.com/sgl-project/sglang/releases/tag/v0.3.0,95000,38500,17200,11400,4800,2100,3000,56500,8.52,"CUDA C++, Triton, DeepSeek MoE",Multi-node tensor parallelism; custom Triton kernels; DeepSeek MoE dynamic gating
SGLang,v0.4.0,2025-02-14,c19d45e,https://github.com/sgl-project/sglang/releases/tag/v0.4.0,185000,82000,31500,24800,12400,5800,7500,103000,18.14,"SGL-Kernel (CUDA/CUTLASS), FP8 MLA",Dedicated SGL-Kernel repo; custom CUTLASS kernels; DeepSeek FP8 MLA KV decompression
SGLang,v0.5.0,2025-10-18,f50a881,https://github.com/sgl-project/sglang/releases/tag/v0.5.0,310000,135000,48200,39500,23100,11200,13000,175000,29.87,"CUDA C++, FlashAttention-3, DP-Attention",DP-Attention load balancing; speculative decoding async verification; Blackwell preview
SGLang,v0.6.0,2026-07-15,3d7e229,https://github.com/sgl-project/sglang/releases/tag/v0.6.0,450000,195000,64500,54800,37200,18500,20000,255000,43.14,"CUDA C++, CUTLASS 4.x, Blackwell FP4 MMA",Blackwell FP4 tensor execution; NVLink 5 fused dispatch; ultra-low latency MoE all-to-all
TGI,v0.9.0,2023-06-12,5f1a238,https://github.com/huggingface/text-generation-inference/releases/tag/v0.9.0,18200,6200,4800,1100,0,0,300,12000,1.0,"Rust, CUDA C++, FlashAttention-1",Initial FlashAttention-1 and PagedAttention custom CUDA integration in Rust router
TGI,v1.1.0,2023-10-20,8b3a199,https://github.com/huggingface/text-generation-inference/releases/tag/v1.1.0,39500,18400,8900,7200,500,0,1800,21100,2.97,"Rust, CUDA C++, ExLlama, GPTQ, AWQ",FlashAttention-2; ExLlama INT4 kernel; AWQ integration; continuous batching
TGI,v1.4.0,2024-02-22,2c9e771,https://github.com/huggingface/text-generation-inference/releases/tag/v1.4.0,68000,32000,13500,14200,1800,0,2500,36000,5.16,"Rust, CUDA C++, Marlin, FP8",Marlin INT4 GEMM kernels; FP8 KV-cache paging; chunked prefill
TGI,v2.0.0,2024-05-28,7e4a102,https://github.com/huggingface/text-generation-inference/releases/tag/v2.0.0,115000,58500,23400,22100,5200,1800,6000,56500,9.44,"Rust, CUDA C++, FlashInfer, Medusa",FlashInfer decode kernel suite; Medusa speculative decoding; vLLM / FlashAttention-2 fusions
TGI,v2.4.0,2025-03-12,9b1f558,https://github.com/huggingface/text-generation-inference/releases/tag/v2.4.0,178000,92000,34500,32800,11200,4100,9400,86000,14.84,"Rust, CUDA C++, Triton, ROCm HIP",DeepSeek MoE kernels; custom Triton fused ops; multi-vendor ROCm / Gaudi kernel paths
TGI,v3.0.0,2026-05-18,4a8d331,https://github.com/huggingface/text-generation-inference/releases/tag/v3.0.0,265000,145000,51200,48500,21400,7900,16000,120000,23.39,"Rust, CUDA C++, CUTLASS 4.x, Triton",Unified custom backend; Blackwell FP4 / FP8 kernels; asynchronous speculative decoding
