# Pass@1 by model and task domain, used by fig-silicon-scaling-plateau.
#
# WHAT THIS FILE DOES NOT RECORD. There is no benchmark column, no evaluation
# date, no k, no temperature, no URL and no citation, so no row can be attributed
# to a specific benchmark or run, and it cannot be said whether a value is one
# benchmark or a blend. Two of the five models (GPT-3.5, GPT-4) are closed, and
# their Tokens_B figures are undisclosed by the vendor and therefore estimates.
#
# The defensible claim from this file is the gap between the two domains at each
# model, which is 1.7x to 3.3x. Neither series is monotone, so it does not
# support a scaling law in either direction. Do not cite it as one.
Model,Tokens_B,Domain,Pass_at_1
CodeGen-16B,350,Software GenAI,29.3
CodeGen-16B,350,Silicon GenAI,17.1
GPT-3.5,500,Software GenAI,48.1
GPT-3.5,500,Silicon GenAI,26.7
StarCoder-15B,1000,Software GenAI,33.6
StarCoder-15B,1000,Silicon GenAI,18.1
CodeLlama-7B,2500,Software GenAI,34.8
CodeLlama-7B,2500,Silicon GenAI,18.2
GPT-4,10000,Software GenAI,88.4
GPT-4,10000,Silicon GenAI,27.0
