# =============================================================================
# ARCHITECTURE 2.0 SOURCE PROVENANCE RECEIPT: 3,000x SILICON COST COLLAPSE (1981-2026)
# Extraction Timestamp: 2026-08-24T09:36:10Z
# Upstream Sources: MOSIS Historical Tariffs (Cohen 1982, Pina 2001), TSMC CyberShuttle,
#                   IBS Node Design Cost Database, Efabless Open MPW, Tiny Tapeout Specs
# Generation Script: data/scrapers/scrape_tinytapeout_census.py
# Scope: 45-Year Longitudinal Economic Record of Custom Silicon Prototyping Cost
# =============================================================================
year,era_milestone,fabrication_paradigm,process_technology,foundry_or_provider,participant_nominal_cost_usd,inflation_adjusted_cost_2026_usd,dedicated_mask_lot_cost_usd,cost_collapse_factor_vs_1981_dedicated,cost_collapse_factor_vs_commercial_mpw,silicon_area_mm2_per_slot,cost_per_mm2_usd,eda_toolchain_license_barrier,pdk_openness_level,typical_participant_profile,primary_citation_and_source
1981,Mead-Conway Revolution (Pre-MOSIS Dedicated Mask Run),Dedicated Mask Set & Wafer Lot Run,"NMOS 3µm / 4µm (Single Poly, 1 Metal)",Caltech / Xerox PARC / HP / Intel Custom Line,150000.0,535000.0,150000.0,1.0,1.0,25.0,6000.0,In-house proprietary CAD or manual Rubylith drafting; >$100k internal effort,Proprietary fab design rules (Mead-Conway scalable lambda-rules),DARPA-funded elite labs & defense contractors only,Mead & Conway (1980) Introduction to VLSI Systems; Conway (IEEE Solid-State 2012)
1982,Early DARPA MOSIS Multiproject Wafer Service,Subsidized Multi-Project Wafer (MPW),NMOS 3µm -> 2µm CMOS,USC Information Sciences Institute (ISI) / DARPA,25000.0,83000.0,180000.0,6.0,1.0,20.0,1250.0,"Early university tools (Berkeley Magic, SPICE2, CIF); highly restricted access",MOSIS design rule brochures (SCMOS rules under government distribution),DoD/DARPA grant principal investigators & top-tier US universities,Cohen & Tyree (1982) VLSI Design via MOSIS; DARPA Project History
1990,Submicron Academic & Commercial MPW Era,Standard Commercial / Academic MPW,CMOS 1.2µm / 0.8µm (2-Metal),MOSIS / Orbit Semiconductor / HP 0.8um,12000.0,29800.0,350000.0,12.5,1.0,15.0,800.0,"Emergence of commercial EDA (Synopsys Design Compiler, Cadence); $30k-$50k/seat",Confidential foundry PDKs under strict bilateral Non-Disclosure Agreements (NDAs),Funded university graduate labs and corporate research labs,Pina (IEEE Proc. 2001) MOSIS Educational and Commercial Service Historical Tariffs
2000,Deep Submicron Foundry MPW (TSMC & EuroPractice),Pure-Play Foundry Multi-Project Shuttle,TSMC 0.25µm / 0.18µm CMOS (5-Metal),TSMC / MOSIS / EuroPractice / CMP France,16000.0,30200.0,750000.0,9.4,1.0,10.0,1600.0,Commercial EDA hegemony (Synopsys/Cadence/Mentor); $80k-$120k/seat/year,Strictly proprietary foundry PDKs requiring corporate legal review and NDA signoff,Corporate fabless design teams & select NSF-sponsored university centers,TSMC CyberShuttle Historical Catalog (2000); EuroPractice IC Service Rates
2008,Nanometer Node Commercial MPW Consolidation,Foundry CyberShuttle (Commercial Standard Slot),TSMC 65nm CMOS / 180nm Baseline,TSMC CyberShuttle / MOSIS Commercial,14000.0,21200.0,1800000.0,10.7,1.0,5.0,2800.0,Proprietary signoff EDA tools mandatory for DRC/LVS/STA ($150k+/seat),Closed-source foundry PDKs with encrypted SPICE models and physical design rules,Venture-backed semiconductor startups and enterprise semiconductor firms,MOSIS TSMC 180nm/65nm Price Schedule (2008); IBS Semiconductor Cost Models
2016,FinFET & Advanced Node Prototyping Wall,Commercial Leading-Edge MPW Slot,TSMC 28nm HKMG / 16nm FinFET,TSMC / EuroPractice IC / MOSIS Advanced,85000.0,115000.0,4500000.0,1.8,0.16,25.0,3400.0,"Multi-million dollar proprietary toolchains (Calibre, Innovus, PrimeTime, IC Compiler)",Extremely restrictive NDAs; individual and hobbyist access strictly prohibited,Tier-1 semiconductor corporations and well-capitalized Series A+ startups,IBS Node Design Cost Report (2016); EuroPractice Leading Edge Rate Cards
2020,The Open Silicon Inflection (Google & SkyWater Open MPW),Fully Subsidized Open Source Silicon Shuttle,"SkyWater SKY130 (130nm Bulk CMOS, 5-Metal)",Google Sponsored Shuttle / Efabless Platform,0.0,0.0,1200000.0,999999.0,999999.0,10.08,0.0,"Zero ($0): 100% open-source EDA (OpenROAD, Yosys, Magic, Netgen, KLayout)",Fully Open Source Apache 2.0 (SkyWater SKY130 Open PDK released May 2020),"Open source software/hardware developers, academic students, global community",Ansari et al. (IEEE Micro 2021) SkyWater SKY130 Open Source PDK; Google Open MPW-1
2021,Commercial Open MPW (Efabless ChipIgnite),Commercial Open-Source Compatible MPW,SkyWater SKY130 (130nm Bulk CMOS),Efabless ChipIgnite Commercial Shuttle,9750.0,11800.0,1200000.0,15.4,1.6,10.08,967.26,Zero ($0): Turnkey OpenLane / OpenROAD automated flow,Apache 2.0 Open Source PDK with verified open signoff scripts,"Hardware startups, universities, IoT prototyping, open IP creators",Efabless ChipIgnite Official Specification (2021); 100 packaged QFNs + 5 dev boards
2022,Ultra-Fine-Grain Aggregation (Tiny Tapeout 1 Debut),Sub-Tile Spatial Silicon Multiplexing,SkyWater SKY130 (130nm Bulk CMOS),Tiny Tapeout / Efabless MPW-7 / SkyWater,100.0,116.0,1200000.0,1500.0,160.0,0.01,10000.0,Zero ($0): Web-based Wokwi graphical schematic / GitHub Actions cloud synthesis,100% open source automated pipeline (Sky130 + OpenLane),"High school students, hobbyists, software engineers with zero prior chip experience",Venn & Shaked (Tiny Tapeout 1 Retrospective 2022); Efabless Project #1229
2023,Modular Standard Tile Multiplexing (Tiny Tapeout 4 & 5),Standard Modular Grid Multiplexed Silicon,SkyWater SKY130 (130nm Bulk CMOS),Tiny Tapeout / ChipIgnite / SkyWater,150.0,168.0,1200000.0,1000.0,106.7,0.016,9375.0,Zero ($0): Local Verilog / Cocotb testbenches + GitHub Actions GDS generation,Apache 2.0 Open Source PDK,"Undergraduate VLSI classes (Stanford, UCSC), Hack Club OnBoard high schoolers",Tiny Tapeout 4 Datasheet (2023); Hack Club OnBoard High School Initiative
