# MLCommons / MLPerf Datacenter Benchmark Progression Dataset (2018-2026)
# Sources: Official MLPerf Training (v0.5-v4.1) and Inference (v0.5-v5.0) results.
# Compares the software dividend (in-place speedup on frozen hardware) against generational hardware step-functions.
platform,process_node,mlperf_round,release_date,benchmark_workload,system_scale,raw_metric,metric_unit,software_dividend_multiplier,generational_step_multiplier,primary_software_innovations
NVIDIA V100 (DGX-1),12nm FFN,Training v0.5,2018-12,ResNet-50 v1.5,8x V100-32GB,134.6,Time-to-Train (min),1.00,1.00,Baseline cuDNN 7.4 convolution and PyTorch baseline
NVIDIA V100 (DGX-1),12nm FFN,Training v0.6,2019-07,ResNet-50 v1.5,8x V100-32GB,58.0,Time-to-Train (min),2.32,-,DALI NVJPEG GPU decode; NCCL ring all-reduce; CBR kernel fusion
NVIDIA V100 (DGX-1),12nm FFN,Training v0.7,2020-07,ResNet-50 v1.5,8x V100-32GB,35.2,Time-to-Train (min),3.82,-,Dual-BNNorm CBR residual fusion; early CUDA Graph capture
NVIDIA V100 (DGX-1),12nm FFN,Training v0.7,2020-07,BERT-Large,8x V100-32GB,480.0,Per-Acc Time (min),1.00,1.00,Apex fused multi-head attention; GELU+bias fusion; Horovod reduction
NVIDIA A100 (DGX A100),7nm TSMC,Training v0.7,2020-07,BERT-Large,8x A100-80GB,391.8,Per-Acc Time (min),1.00,1.23 vs V100,TF32 Tensor Cores; 3rd Gen NVLink; Apex attention; distributed optimizer
NVIDIA A100 (DGX A100),7nm TSMC,Training v1.0,2021-06,BERT-Large,8x A100-80GB,169.2,Per-Acc Time (min),2.32,-,Fused MHA; Distributed LAMB; sync-free training; PyTorch CUDA Graphs
NVIDIA A100 (DGX A100),7nm TSMC,Training v1.1,2021-11,BERT-Large,8x A100-80GB,160.0,Per-Acc Time (min),2.45,-,Full-iteration CUDA Graph in NCCL; user-buffer pre-registration; sequence packing
NVIDIA A100 (DGX A100),7nm TSMC,Training v2.0,2022-06,BERT-Large,8x A100-80GB,145.4,Per-Acc Time (min),2.69,-,FC+GELU layer fusion; cuBLASLt epilogue fusion; global batch tuning (67k)
Google TPU v4,7nm Custom,Training v1.0,2021-06,ResNet-50 v1.5,4096x TPU v4,0.287,Time-to-Train (min),1.00,1.39 vs A100,XLA compiler baseline; GSPMD 3D mesh sharding; 3D torus interconnect
Google TPU v4,7nm Custom,Training v2.0,2022-06,ResNet-50 v1.5,4096x TPU v4,0.191,Time-to-Train (min),1.50,1.67 vs A100,XLA communication-computation overlap; dynamic OCS optical circuit switching
NVIDIA H100 (DGX H100),4N TSMC,Training v2.1,2022-11,BERT-Large,8x H100-80GB,61.5,Per-Acc Time (min),1.00,2.36 vs A100,Hopper 4N architecture; 4th Gen Tensor Cores; FP8 Transformer Engine
NVIDIA H100 (DGX H100),4N TSMC,Training v3.0,2023-06,BERT-Large,8x H100-80GB,52.6,Per-Acc Time (min),1.17,-,FlashAttention-1 cuDNN integration; dynamic FP8 scaling factors; NCCL 2.18
NVIDIA H100 (Fixed 512 Cluster),4N TSMC,Training v3.0,2023-06,GPT-3 175B,512x H100-80GB,71.4,Time-to-Train (min),1.00,3.80 vs A100,Megatron-LM 3D parallelism (TP=8, PP=8, DP=8); FP8 Transformer Engine
NVIDIA H100 (Fixed 512 Cluster),4N TSMC,Training v4.0,2024-06,GPT-3 175B,512x H100-80GB,56.2,Time-to-Train (min),1.27,-,FlashAttention-2 in cuDNN; make_graphed_callables; TMA async GEMMs
NVIDIA H100 (Per-GPU Baseline),4N TSMC,Training v4.1,2024-11,GPT-3 175B,H100-80GB,Normalized,Per-GPU Throughput,1.30,-,Overlap of DP-AllGather; fused LayerNorm+GEMM; optimized NCCL 2.22
NVIDIA H100 (DGX H100),4N TSMC,Training v4.0,2024-06,Llama 2 70B LoRA,8x H100-80GB,24.6,Time-to-Train (min),1.00,-,Initial MLPerf v4.0 Llama 2 70B reference; LoRA adapter backprop
NVIDIA H100 (DGX H100),4N TSMC,Training v4.1,2024-11,Llama 2 70B LoRA,8x H100-80GB,19.5,Time-to-Train (min),1.26,-,In-place +26% speedup on same 8x H100 node in 5 months; custom LoRA GEMM
NVIDIA B200 (DGX B200),4NP TSMC,Training v4.1,2024-11,GPT-3 175B,64x B200-192GB,Normalized,Per-GPU Throughput,1.00,2.00 vs H100,Blackwell Dual-Die 4NP; 2nd Gen Transformer Engine; NVLink 5 (1.8TB/s)
NVIDIA B200 (DGX B200),4NP TSMC,Training v4.1,2024-11,Llama 2 70B LoRA,8x B200-192GB,8.9,Time-to-Train (min),1.00,2.20 vs H100,Blackwell 8-GPU preview; 2.2x faster than 8x H100 HGX node
NVIDIA A100,7nm TSMC,Inference v1.0,2021-04,BERT-Large,1x A100-80GB,2510,Offline (Samples/s),1.00,7.17 vs V100,TensorRT INT8 dynamic quantization; fused multi-head attention; sequence packing
NVIDIA H100,4N TSMC,Inference v2.1,2022-09,BERT-Large,1x H100-80GB,8120,Offline (Samples/s),1.00,3.23 vs A100,Hopper FP8 Transformer Engine; TensorRT 8.5 FP8 execution path
