Year,Node_nm,NodeLabel,ArchitectureEra,FullMaskSetCost_USD,Commercial_MPW_Cost_per_mm2_USD,Academic_Entry_Cost_per_Design_USD,OpenShuttle_Cost_per_Design_USD,MaxAcademicUniversityAffordability_USD,AcademicStatus,DataProvenance,SourceURL
1979,3000,3 um NMOS (MPC79),Architecture 0.0 / MPC,18000,250,0,0,50000,"Democratized (MPC79: 82 designs, 12 universities)","Conway (1981) MPC Adventures, Xerox PARC / HP Fab",https://ai.eecs.umich.edu/people/conway/VLSI/MPCAdv/MPCAdv.pdf
1981,2000,2 um NMOS/CMOS (MOSIS),Architecture 1.0 (Early),35000,450,1200,1200,50000,"Democratized (MOSIS ~1,500 designs/yr)","Lewicki et al. (1984) DARPA MOSIS, USC/ISI",https://www.isi.edu/about/history/mosis/
1995,500,0.5 um CMOS,Architecture 1.0 (Deep Submicron),120000,1200,4500,4500,50000,Accessible (MOSIS / CMP / Europractice),MOSIS Technical Reports & CMP France archives,https://www.mosis2.com/
2001,180,180 nm CMOS,Architecture 1.0 (Deep Submicron),380000,2200,8800,8800,50000,Accessible via University Consortiums,Europractice Rate Cards (2001) & TSMC 0.18um MPW,https://europractice-ic.com/technologies/
2007,65,65 nm CMOS,Architecture 1.0 (Scaling Stagnation),1600000,9500,38000,38000,50000,Marginal (Cost ceiling reached; tapeouts contract),IBS Semiconductor Cost Study & TSMC 65nm MPW Rate Card,https://www.eetimes.com/mask-costs-threaten-soc-era/
2013,28,28 nm High-K Metal Gate,Architecture 1.0 (Lockout Era),4500000,18500,92500,92500,50000,Locked Out (Apprenticeship Gap: Simulation Only),IBS Report & TSMC 28nm Europractice Member Card,https://europractice-ic.com/technologies/
2016,16,16 nm FinFET,Architecture 1.0 (Lockout Era),9800000,36000,180000,180000,50000,Locked Out (Academic Tapeout Collapse in Leading Nodes),McKinsey Semiconductor Practice & IBS FinFET Cost Models,https://www.mckinsey.com/industries/semiconductors/
2019,7,7 nm FinFET (EUV/DUV),Architecture 1.0 (Extreme Lockout),26000000,92000,460000,460000,50000,Complete Academic Exclusion (>10x Typical NSF Grant),IBS 7nm Mask Economics & Foundry MPW Catalogues,https://semiwiki.com/semiconductor-services/ic-knowledge/7733-7nm-cost-economics/
2020,130,130 nm Open PDK (Efabless/Google),Architecture 2.0 (Open Silicon Turnaround),450000,975,0,0,50000,Democratized (Google Open MPW-1 to MPW-8: Free),Google Open Silicon Initiative & Efabless Platform,https://opensource.googleblog.com/2020/11/open-silicon-initiative-skywater-pdk.html
2022,130,130 nm Multiplexed Tile (Tiny Tapeout TT01),Architecture 2.0 (Multiplexed Democratization),450000,975,100,100,50000,Democratized (TT01: 152 designs multiplexed),Tiny Tapeout Registry & Pricing Documentation,https://tinytapeout.com/chips/
2024,3,3 nm GAA Nanosheet (Commercial),Architecture 2.0 (Commercial Advanced Node),48000000,260000,1300000,1300000,50000,Hyper-Gated ($48M mask set; industrial consortium only),IBS 3nm Mask Economics & Commercial Foundry Signoff Data,https://semiengineering.com/mask-costs-soar-at-advanced-nodes/
2026,130,130nm / 180nm Open Multi-PDK (Tiny Tapeout 2026),Architecture 2.0 (Multi-PDK Open Renaissance),450000,975,50,50,50000,"Democratized (>4,000 cumulative designs; SKY130/SG13G2/GF180)",Tiny Tapeout 2026 live platform database,https://tinytapeout.com/chips/
